epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,649.221,2.89225,10.6276,3.10539,0.83596,0.46379,0.51135,0.3755,2.82524,10.5576,2.8956,0.0335074,0.000166592,0.000166592
2,1297.67,2.91536,10.9126,3.10547,0.8394,0.48892,0.55108,0.41039,2.73789,9.51047,2.85281,0.0170073,0.00033313,0.00033313
3,1943.56,2.94748,10.8917,3.10299,0.87307,0.49442,0.58214,0.44543,2.69435,9.07591,2.85981,0.000506619,0.000499155,0.000499155
4,2587.07,2.91888,10.5846,3.091,0.73554,0.51067,0.58163,0.44044,2.5893,8.68484,2.7964,0.000498267,0.000498267,0.000498267
5,3229.48,2.83987,10.1924,3.04636,0.71778,0.54796,0.6126,0.46038,2.61233,8.14476,2.75897,0.000496922,0.000496922,0.000496922
6,3873.66,2.79344,9.82327,3.02327,0.89469,0.50688,0.60214,0.46688,2.57912,8.10809,2.76837,0.000495196,0.000495196,0.000495196
7,4517.08,2.74067,9.48364,2.99322,0.89428,0.52156,0.64776,0.50388,2.56862,7.97627,2.75164,0.000493093,0.000493093,0.000493093
8,5161.06,2.72234,9.29818,2.97627,0.74234,0.63295,0.68102,0.53625,2.44903,7.66647,2.69247,0.000490614,0.000490614,0.000490614
9,5805.21,2.66586,9.06752,2.95301,0.68029,0.67126,0.69597,0.53632,2.4971,7.37672,2.66317,0.000487764,0.000487764,0.000487764
10,6448.81,2.65466,8.92257,2.95149,0.61965,0.72379,0.66688,0.53176,2.47194,7.26369,2.67284,0.000484548,0.000484548,0.000484548
11,7093.05,2.63577,8.75203,2.92521,0.76633,0.63048,0.68692,0.55605,2.34718,7.16723,2.64117,0.00048097,0.00048097,0.00048097
12,7737.65,2.58242,8.55544,2.90626,0.81419,0.61715,0.70324,0.56252,2.36316,6.97395,2.62333,0.000477036,0.000477036,0.000477036
13,8381.54,2.57544,8.40067,2.90588,0.72023,0.70685,0.7632,0.6255,2.36767,6.80348,2.62683,0.000472752,0.000472752,0.000472752
14,9024.02,2.55609,8.2943,2.89458,0.84006,0.6539,0.7635,0.61168,2.43145,6.8285,2.62371,0.000468124,0.000468124,0.000468124
15,9668.56,2.52685,8.2107,2.8791,0.69295,0.64985,0.69898,0.56835,2.30905,6.78989,2.61617,0.00046316,0.00046316,0.00046316
16,10311.3,2.52003,8.06458,2.87912,0.74508,0.74432,0.7634,0.61584,2.34165,6.58743,2.60984,0.000457868,0.000457868,0.000457868
17,10955.5,2.48997,8.02738,2.86923,0.85153,0.71521,0.77042,0.62746,2.29024,6.34437,2.5965,0.000452255,0.000452255,0.000452255
18,11596.3,2.48095,7.85047,2.85973,0.73704,0.75061,0.78403,0.63426,2.27426,6.31662,2.58683,0.00044633,0.00044633,0.00044633
19,12236.5,2.47246,7.70637,2.85721,0.85257,0.68166,0.78599,0.63895,2.29111,6.18645,2.58107,0.000440102,0.000440102,0.000440102
