epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,658.653,2.27479,6.32851,2.74085,0.80489,0.75893,0.82788,0.6634,2.25519,6.14724,2.5693,0.0335074,0.000166592,0.000166592
2,1349.4,2.25848,6.33948,2.73001,0.77627,0.74158,0.80753,0.65594,2.30927,6.0377,2.55585,0.0170065,0.000332346,0.000332346
3,2033.29,2.292,6.55407,2.75392,0.87128,0.76785,0.82344,0.68363,2.18676,5.9783,2.53811,0.000501927,0.000494463,0.000494463
4,2695.04,2.30519,6.5675,2.76311,0.84452,0.75732,0.8296,0.66861,2.2053,6.14486,2.53738,0.000487764,0.000487764,0.000487764
5,3338.46,2.30231,6.59492,2.75373,0.7907,0.77114,0.83466,0.67415,2.32878,6.08016,2.57496,0.000478387,0.000478387,0.000478387
6,3996.67,2.28986,6.50865,2.75213,0.68623,0.85195,0.84281,0.68592,2.18835,6.12088,2.53951,0.000466507,0.000466507,0.000466507
7,4661.88,2.27323,6.44501,2.74126,0.84864,0.75265,0.835,0.68695,2.22689,6.13015,2.55618,0.000452255,0.000452255,0.000452255
8,5323.23,2.29504,6.46624,2.74397,0.80913,0.79677,0.84434,0.68862,2.21582,5.91797,2.54775,0.000435787,0.000435787,0.000435787
9,5975.6,2.25829,6.32592,2.73123,0.8457,0.78882,0.84691,0.68412,2.23589,5.88766,2.53274,0.000417283,0.000417283,0.000417283
10,6631.03,2.26115,6.22392,2.72542,0.83283,0.79486,0.85906,0.71209,2.15889,5.79509,2.52844,0.000396947,0.000396947,0.000396947
11,7304.63,2.16754,5.77744,2.69431,0.88143,0.73363,0.8469,0.69573,2.17938,5.72982,2.52677,0.000375001,0.000375001,0.000375001
12,7968.69,2.15217,5.71333,2.68281,0.86227,0.74166,0.85119,0.70187,2.21965,5.91678,2.524,0.000351686,0.000351686,0.000351686
13,8615.38,2.12819,5.58144,2.67451,0.81685,0.77909,0.85184,0.70276,2.19397,5.77592,2.497,0.000327256,0.000327256,0.000327256
14,9302.71,2.11763,5.52944,2.65817,0.87119,0.76796,0.86827,0.70869,2.16129,5.64313,2.51524,0.00030198,0.00030198,0.00030198
15,10009.2,2.11214,5.45173,2.6645,0.86773,0.8111,0.86955,0.7156,2.17754,5.67058,2.5219,0.000276134,0.000276134,0.000276134
16,10760.8,2.08499,5.38307,2.66272,0.88702,0.75993,0.85083,0.70063,2.17182,5.6444,2.51541,0.000250003,0.000250003,0.000250003
17,11520.9,2.06166,5.22703,2.64514,0.86538,0.81297,0.88028,0.72787,2.11556,5.49979,2.50554,0.000223871,0.000223871,0.000223871
18,12254.3,2.04327,5.11858,2.63805,0.81928,0.84748,0.89597,0.7322,2.16364,5.57297,2.51253,0.000198025,0.000198025,0.000198025
19,12940.3,2.01393,4.98309,2.62351,0.8511,0.79728,0.87071,0.7182,2.13659,5.49999,2.48974,0.000172749,0.000172749,0.000172749
20,13630.9,2.00331,4.85811,2.61525,0.86897,0.80931,0.88525,0.73207,2.13016,5.46826,2.50269,0.000148319,0.000148319,0.000148319
21,14325.7,1.97127,4.78537,2.61139,0.8917,0.81616,0.89086,0.73473,2.13435,5.41993,2.49891,0.000125004,0.000125004,0.000125004
22,15011.6,1.9634,4.73745,2.6032,0.87542,0.83455,0.89146,0.73267,2.11947,5.41663,2.48874,0.000103058,0.000103058,0.000103058
23,15659.4,1.95625,4.66476,2.59846,0.85849,0.85162,0.89344,0.7433,2.13411,5.41439,2.49199,8.27215e-05,8.27215e-05,8.27215e-05
24,16354.6,1.93096,4.58785,2.58589,0.88518,0.82137,0.89329,0.74627,2.12156,5.37938,2.47912,6.42182e-05,6.42182e-05,6.42182e-05
25,17063.3,1.9221,4.53293,2.57594,0.89929,0.8198,0.89605,0.74616,2.11594,5.3352,2.47508,4.77503e-05,4.77503e-05,4.77503e-05
26,17781.2,1.92104,4.477,2.58384,0.89571,0.83169,0.89919,0.75027,2.10635,5.33068,2.46888,3.34983e-05,3.34983e-05,3.34983e-05
27,18484.6,1.90879,4.44835,2.57507,0.88285,0.84379,0.90967,0.75624,2.10653,5.30495,2.46978,2.16184e-05,2.16184e-05,2.16184e-05
28,19168.5,1.89804,4.39955,2.58048,0.88496,0.83165,0.90579,0.75693,2.103,5.31568,2.47034,1.22407e-05,1.22407e-05,1.22407e-05
29,19973.5,1.90487,4.42168,2.57458,0.88511,0.8362,0.90649,0.75823,2.10169,5.30344,2.46944,5.46805e-06,5.46805e-06,5.46805e-06
30,20660.5,1.89164,4.4004,2.57345,0.89302,0.83323,0.9073,0.75781,2.09944,5.29765,2.46873,1.37451e-06,1.37451e-06,1.37451e-06
