epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,687.707,1.37517,2.14392,2.10928,0.69863,0.50156,0.56153,0.4738,1.27537,1.16695,1.86725,0.00333238,0.00333238,0.00333238
2,1483.31,1.54544,1.61196,2.2047,0.8872,0.42125,0.48852,0.39744,1.39439,1.34567,1.96331,0.00653373,0.00653373,0.00653373
3,2292.15,1.73516,1.8688,2.32481,0.70297,0.4046,0.42092,0.32898,1.56826,1.54758,2.11004,0.00960308,0.00960308,0.00960308
4,2992.75,1.8085,1.94908,2.37844,0.73998,0.40786,0.46136,0.36668,1.53276,1.45953,2.10972,0.009406,0.009406,0.009406
5,3679.66,1.7055,1.71962,2.31499,0.77248,0.4309,0.49447,0.40571,1.37078,1.24331,1.97523,0.009208,0.009208,0.009208
6,4365.29,1.629,1.62852,2.28004,0.7245,0.51545,0.51605,0.42101,1.33961,1.21758,1.98929,0.00901,0.00901,0.00901
7,5050.16,1.56783,1.52359,2.23621,0.91216,0.45261,0.51245,0.42598,1.2824,1.1162,1.93988,0.008812,0.008812,0.008812
8,5735.49,1.5212,1.462,2.20994,0.91274,0.46569,0.51716,0.43037,1.26161,1.07868,1.91974,0.008614,0.008614,0.008614
9,6420.98,1.48056,1.38436,2.18285,0.81888,0.49746,0.53929,0.45918,1.21186,1.01684,1.90346,0.008416,0.008416,0.008416
10,7104.12,1.45478,1.33395,2.16309,0.78228,0.52581,0.55134,0.45812,1.18186,1.01668,1.8698,0.008218,0.008218,0.008218
11,7788.81,1.4223,1.29578,2.14961,0.82099,0.55137,0.56794,0.48939,1.1694,0.94604,1.86952,0.00802,0.00802,0.00802
12,8474.18,1.40182,1.25423,2.1373,0.81889,0.55025,0.58041,0.49207,1.14676,0.9391,1.8568,0.007822,0.007822,0.007822
13,9152.54,1.3863,1.21751,2.12039,0.83807,0.5466,0.59683,0.50311,1.12733,0.93084,1.83541,0.007624,0.007624,0.007624
14,9833.36,1.35691,1.18547,2.10704,0.69191,0.54079,0.58637,0.50502,1.13494,0.92227,1.85437,0.007426,0.007426,0.007426
15,10539.9,1.33725,1.15904,2.09354,0.87435,0.56276,0.6084,0.529,1.10876,0.84964,1.85055,0.007228,0.007228,0.007228
16,11259.1,1.31952,1.12747,2.08412,0.84388,0.56391,0.59855,0.52062,1.09791,0.85536,1.83841,0.00703,0.00703,0.00703
17,12033,1.30766,1.11254,2.07372,0.85955,0.54543,0.60159,0.52227,1.0921,0.8466,1.83302,0.006832,0.006832,0.006832
18,12798.8,1.29599,1.1007,2.06179,0.85629,0.57809,0.63998,0.54393,1.08101,0.81286,1.79965,0.006634,0.006634,0.006634
19,13538.6,1.28441,1.07042,2.05246,0.91007,0.56652,0.65999,0.56463,1.06714,0.78464,1.79167,0.006436,0.006436,0.006436
20,14239.5,1.26785,1.05729,2.04903,0.87646,0.59653,0.71256,0.60681,1.04165,0.79414,1.80653,0.006238,0.006238,0.006238
21,14952.8,1.2561,1.04396,2.03776,0.93895,0.56784,0.68157,0.57547,1.05779,0.78398,1.79086,0.00604,0.00604,0.00604
22,15670.6,1.23814,1.00973,2.02753,0.88633,0.60181,0.63981,0.55866,1.05261,0.75888,1.78519,0.005842,0.005842,0.005842
23,16379.1,1.2456,1.01696,2.03265,0.90026,0.61397,0.78385,0.6151,1.0454,0.74306,1.7873,0.005644,0.005644,0.005644
24,17094.5,1.21335,0.98259,2.02084,0.90122,0.59925,0.68652,0.58792,1.0349,0.75539,1.76879,0.005446,0.005446,0.005446
25,17825.6,1.20638,0.97061,2.01138,0.90795,0.59289,0.68456,0.57725,1.02044,0.73819,1.7546,0.005248,0.005248,0.005248
26,18546,1.21399,0.96622,2.0198,0.94035,0.58186,0.71206,0.60496,1.02504,0.73424,1.7818,0.00505,0.00505,0.00505
27,19262.8,1.19151,0.93837,2.00658,0.90214,0.60276,0.66461,0.58159,1.01237,0.73642,1.75456,0.004852,0.004852,0.004852
28,19975.6,1.1788,0.91631,1.99862,0.92274,0.58853,0.65425,0.57445,1.00612,0.72899,1.76087,0.004654,0.004654,0.004654
29,20675.3,1.17654,0.9169,1.99608,0.9312,0.59474,0.6943,0.60826,1.00705,0.71441,1.75562,0.004456,0.004456,0.004456
30,21367.8,1.15955,0.89745,1.98508,0.93903,0.58301,0.79046,0.65208,1.00881,0.71585,1.76267,0.004258,0.004258,0.004258
31,22060.9,1.15804,0.89758,1.98209,0.95074,0.59743,0.72249,0.61959,0.99299,0.70967,1.73987,0.00406,0.00406,0.00406
32,22980.1,1.14854,0.87709,1.97623,0.75188,0.79266,0.79811,0.63472,0.99569,0.68363,1.74483,0.003862,0.003862,0.003862
33,23721.5,1.12691,0.85542,1.96718,0.84606,0.77055,0.82611,0.69105,0.98621,0.69112,1.74126,0.003664,0.003664,0.003664
34,24471.8,1.11399,0.84831,1.96092,0.7975,0.80031,0.81289,0.67985,0.98249,0.6838,1.74436,0.003466,0.003466,0.003466
35,25200.4,1.11547,0.83588,1.96386,0.85173,0.78289,0.82971,0.69723,0.98181,0.68607,1.75495,0.003268,0.003268,0.003268
36,25917.5,1.10709,0.81846,1.96127,0.87409,0.77269,0.82741,0.69048,0.98106,0.68384,1.7513,0.00307,0.00307,0.00307
37,26627.6,1.09218,0.80882,1.9472,0.84704,0.78698,0.81496,0.69468,0.97827,0.67882,1.74875,0.002872,0.002872,0.002872
38,27336,1.08156,0.79239,1.94305,0.88714,0.78069,0.83334,0.69917,0.97284,0.67269,1.75104,0.002674,0.002674,0.002674
39,28041.2,1.0675,0.77994,1.9437,0.79882,0.79312,0.83021,0.69656,0.96844,0.6699,1.75171,0.002476,0.002476,0.002476
40,28746.2,1.06369,0.76283,1.9343,0.80356,0.79095,0.82535,0.69364,0.95775,0.66158,1.73907,0.002278,0.002278,0.002278
41,29433.9,0.99977,0.67379,1.85217,0.83644,0.78582,0.81488,0.68333,0.9653,0.67913,1.75111,0.00208,0.00208,0.00208
42,30126.4,0.98967,0.6468,1.85109,0.85326,0.78215,0.82973,0.7098,0.97096,0.678,1.75641,0.001882,0.001882,0.001882
43,30816,0.9738,0.6283,1.83472,0.82028,0.78857,0.83034,0.69678,0.97108,0.67838,1.74937,0.001684,0.001684,0.001684
44,31549.9,0.96331,0.61606,1.82883,0.77905,0.82693,0.83418,0.68346,0.97097,0.67999,1.74214,0.001486,0.001486,0.001486
45,32246.5,0.96021,0.60964,1.8266,0.78361,0.79638,0.82944,0.68217,0.96826,0.68696,1.73493,0.001288,0.001288,0.001288
46,32970.5,0.93978,0.58979,1.81136,0.80795,0.79609,0.81274,0.68105,0.96969,0.67339,1.72898,0.00109,0.00109,0.00109
47,33757.5,0.92948,0.57344,1.8086,0.75604,0.8216,0.83145,0.69776,0.97099,0.67587,1.73281,0.000892,0.000892,0.000892
48,34605.9,0.91743,0.56001,1.80347,0.8412,0.7854,0.82799,0.69416,0.97198,0.67312,1.7331,0.000694,0.000694,0.000694
49,35309.3,0.90698,0.54831,1.80271,0.84493,0.78747,0.82984,0.6958,0.97199,0.6703,1.734,0.000496,0.000496,0.000496
50,36054.9,0.89668,0.53097,1.79673,0.84558,0.78918,0.82823,0.69464,0.96922,0.67333,1.73234,0.000298,0.000298,0.000298
