epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,734.519,2.1247,5.20565,2.14697,0.75763,0.71846,0.75603,0.5917,2.07771,7.24836,2.0318,0.0802089,0.00019991,0.00019991
2,1398.57,2.09122,5.015,2.12749,0.8225,0.61607,0.74745,0.58038,1.92606,6.39223,1.94116,0.0604085,0.000399516,0.000399516
3,2108.74,2.07599,5.00351,2.11367,0.80546,0.70992,0.78293,0.62677,2.01201,4.64604,1.96612,0.0406065,0.000597545,0.000597545
4,2796.36,2.09304,5.0762,2.13123,0.83253,0.73769,0.81247,0.65274,1.93154,4.41843,1.952,0.0208018,0.000792827,0.000792827
5,3463.36,2.0959,5.06738,2.12377,0.78155,0.74202,0.80538,0.64915,1.92046,4.30354,1.94578,0.000993162,0.000984205,0.000984205
6,4184.83,2.10164,5.07427,2.12743,0.83456,0.71456,0.82563,0.64859,1.96685,4.36542,1.95016,0.000975531,0.000975531,0.000975531
7,4841.52,2.10191,5.06767,2.12885,0.85057,0.72873,0.81057,0.6609,1.92391,4.39691,1.93063,0.000964892,0.000964892,0.000964892
8,5492.4,2.07686,4.97806,2.12143,0.72045,0.74887,0.80567,0.65091,1.92552,4.2038,1.95492,0.000952418,0.000952418,0.000952418
9,6140.95,2.0682,4.98058,2.1153,0.78159,0.76071,0.80788,0.65836,1.92854,4.10048,1.90837,0.00093816,0.00093816,0.00093816
10,6788.11,2.03299,4.84438,2.09999,0.82992,0.76804,0.81839,0.66095,1.90597,4.29574,1.91097,0.000922172,0.000922172,0.000922172
11,7438.5,2.05824,4.84745,2.10732,0.87773,0.72383,0.82863,0.68757,1.84229,3.99047,1.90199,0.000904518,0.000904518,0.000904518
12,8090.3,2.03064,4.79087,2.09385,0.8015,0.77785,0.82825,0.67452,1.90459,4.19485,1.90809,0.000885268,0.000885268,0.000885268
