epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,776.456,1.35428,1.14887,2.01837,0.76753,0.61457,0.65703,0.56083,1.17918,0.98123,1.86583,0.000277542,0.000277542,0.000277542
2,1645.47,1.47397,1.32426,2.09452,0.81565,0.56361,0.68946,0.58744,1.22418,1.0753,1.90806,0.000536721,0.000536721,0.000536721
3,2298.32,1.52379,1.42831,2.12832,0.78022,0.63496,0.66705,0.55755,1.25718,1.07782,1.94506,0.000777406,0.000777406,0.000777406
4,2953.45,1.53421,1.41704,2.12567,0.82142,0.6504,0.71183,0.59654,1.22828,1.03361,1.92624,0.000749783,0.000749783,0.000749783
5,3612,1.52935,1.38544,2.11872,0.76816,0.68647,0.6687,0.55504,1.23176,1.06417,1.92082,0.000722044,0.000722044,0.000722044
6,4275.47,1.50742,1.36642,2.10616,0.79327,0.64087,0.67835,0.57602,1.19125,1.02561,1.88395,0.000694305,0.000694305,0.000694305
7,4949.81,1.48192,1.33716,2.08945,0.77017,0.61998,0.65985,0.56297,1.19282,0.98985,1.8969,0.000666567,0.000666567,0.000666567
8,5624.81,1.46409,1.3132,2.08637,0.83476,0.59965,0.69084,0.5871,1.18318,1.0097,1.88429,0.000638828,0.000638828,0.000638828
9,6305.75,1.45403,1.2829,2.07391,0.84026,0.61775,0.70682,0.60492,1.17944,0.95858,1.88096,0.000611089,0.000611089,0.000611089
10,6990.98,1.43966,1.27623,2.07133,0.81236,0.61704,0.68344,0.58578,1.14932,0.9657,1.87376,0.00058335,0.00058335,0.00058335
11,7678.08,1.42585,1.2527,2.05858,0.84546,0.68754,0.7507,0.64542,1.14457,0.94132,1.87886,0.000555611,0.000555611,0.000555611
12,8353.8,1.42719,1.24736,2.06229,0.84038,0.65859,0.71159,0.61148,1.14229,0.942,1.84675,0.000527872,0.000527872,0.000527872
13,9021.15,1.40944,1.2132,2.05194,0.89354,0.66591,0.7178,0.6272,1.13321,0.91396,1.84189,0.000500133,0.000500133,0.000500133
14,9691.49,1.40122,1.19872,2.04704,0.90527,0.64965,0.73891,0.63414,1.14115,0.89793,1.8607,0.000472394,0.000472394,0.000472394
15,10360.5,1.39236,1.1885,2.0422,0.81638,0.66825,0.71956,0.62612,1.13417,0.90121,1.85118,0.000444655,0.000444655,0.000444655
16,11034.4,1.3719,1.16896,2.03258,0.86574,0.66504,0.74231,0.64205,1.11818,0.87743,1.84109,0.000416916,0.000416916,0.000416916
17,11700.3,1.3597,1.15122,2.02519,0.86145,0.6862,0.73259,0.63105,1.11886,0.87899,1.82932,0.000389178,0.000389178,0.000389178
18,12371.1,1.35303,1.13038,2.01772,0.86134,0.66903,0.7252,0.62849,1.11199,0.85984,1.83251,0.000361439,0.000361439,0.000361439
19,13039.9,1.33946,1.10505,2.01348,0.92091,0.63794,0.76402,0.66266,1.10966,0.86662,1.84508,0.0003337,0.0003337,0.0003337
20,13701.3,1.33449,1.10331,2.00823,0.86263,0.68911,0.74825,0.64489,1.10391,0.85188,1.83204,0.000305961,0.000305961,0.000305961
21,14356.6,1.19509,0.91118,1.95532,0.86895,0.67811,0.73341,0.62804,1.11475,0.8803,1.81073,0.000278222,0.000278222,0.000278222
22,15009.5,1.18495,0.89939,1.95145,0.81161,0.70723,0.75008,0.64668,1.10902,0.86737,1.83006,0.000250483,0.000250483,0.000250483
23,15656,1.16379,0.8758,1.93038,0.8534,0.67872,0.73969,0.64072,1.10123,0.85978,1.8159,0.000222744,0.000222744,0.000222744
24,16308.3,1.15256,0.85565,1.92906,0.85396,0.68454,0.7959,0.6941,1.08922,0.85779,1.81242,0.000195005,0.000195005,0.000195005
25,16962,1.14523,0.84325,1.92026,0.84354,0.70521,0.73958,0.64365,1.08408,0.85516,1.80765,0.000167266,0.000167266,0.000167266
26,17613.9,1.13178,0.81544,1.9179,0.86293,0.63505,0.7688,0.67361,1.08824,0.84738,1.81558,0.000139527,0.000139527,0.000139527
27,18268.1,1.11874,0.80493,1.90291,0.91835,0.63378,0.75883,0.65912,1.08405,0.84267,1.80844,0.000111789,0.000111789,0.000111789
28,18921.9,1.1094,0.79338,1.90121,0.92028,0.63059,0.76373,0.66805,1.07966,0.83998,1.80444,8.40497e-05,8.40497e-05,8.40497e-05
29,19571.9,1.09401,0.78031,1.89096,0.74305,0.87177,0.84152,0.74361,1.07383,0.83358,1.80075,5.63108e-05,5.63108e-05,5.63108e-05
30,20221.4,1.08424,0.7601,1.88568,0.7611,0.86995,0.84506,0.74752,1.07238,0.83814,1.80097,2.85719e-05,2.85719e-05,2.85719e-05
