epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,675.612,1.59206,2.24287,2.13934,0.71318,0.47799,0.55121,0.46144,1.22268,1.15887,1.83934,0.0700086,0.00333238,0.00333238
2,1363.92,1.78104,1.85311,2.23747,0.66641,0.44431,0.48545,0.3947,1.4171,1.46794,2.01775,0.0398753,0.00653241,0.00653241
3,2052,2.01117,2.16385,2.39091,0.55617,0.4009,0.43305,0.33345,1.60092,1.68927,2.1552,0.00960868,0.00959912,0.00959912
4,2741.11,2.09253,2.29437,2.4536,0.72135,0.39885,0.45298,0.35968,1.53053,1.54401,2.11586,0.00940006,0.00940006,0.00940006
5,3423.43,1.99362,2.09718,2.40388,0.73299,0.40964,0.46676,0.37556,1.46052,1.4166,2.06449,0.00920008,0.00920008,0.00920008
6,4120.95,1.88765,1.92312,2.33401,0.74476,0.43669,0.48358,0.39518,1.37618,1.28534,1.99361,0.0090001,0.0090001,0.0090001
7,4832.15,1.83084,1.82896,2.29673,0.74661,0.44713,0.50065,0.41101,1.33371,1.1989,1.96045,0.00880012,0.00880012,0.00880012
8,5520.98,1.78582,1.74732,2.26945,0.64141,0.497,0.52706,0.43824,1.29378,1.1511,1.9613,0.00860014,0.00860014,0.00860014
9,6206.41,1.73317,1.66627,2.23805,0.61637,0.50119,0.5228,0.44275,1.22888,1.11772,1.90968,0.00840016,0.00840016,0.00840016
10,6941.74,1.70517,1.62596,2.2145,0.76381,0.5037,0.52919,0.44846,1.23246,1.06859,1.91764,0.00820018,0.00820018,0.00820018
11,7699.9,1.66601,1.56404,2.20246,0.84285,0.51826,0.561,0.47572,1.1766,0.99371,1.87333,0.0080002,0.0080002,0.0080002
12,8432.06,1.63343,1.50863,2.18498,0.8033,0.51538,0.5531,0.4697,1.20318,0.9792,1.89619,0.00780022,0.00780022,0.00780022
13,9191.64,1.61426,1.48177,2.16539,0.8343,0.49911,0.556,0.48065,1.15894,1.00298,1.86463,0.00760024,0.00760024,0.00760024
14,9939.4,1.59907,1.4399,2.16452,0.85251,0.51362,0.55264,0.47652,1.16347,0.98041,1.87503,0.00740026,0.00740026,0.00740026
15,10674.2,1.57607,1.42271,2.14735,0.82491,0.52338,0.5679,0.48801,1.1227,0.93814,1.86239,0.00720028,0.00720028,0.00720028
16,11396.8,1.55789,1.40623,2.14035,0.85917,0.54361,0.72448,0.54831,1.12295,0.90917,1.86193,0.0070003,0.0070003,0.0070003
17,12101.3,1.54012,1.37303,2.13195,0.84955,0.53392,0.58673,0.50968,1.11288,0.90707,1.87148,0.00680032,0.00680032,0.00680032
18,12816,1.52853,1.33738,2.12122,0.89487,0.5356,0.59149,0.51963,1.1068,0.89409,1.83189,0.00660034,0.00660034,0.00660034
19,13531.5,1.5044,1.32408,2.10879,0.85733,0.55324,0.59789,0.52863,1.08837,0.85019,1.82916,0.00640036,0.00640036,0.00640036
20,14249.2,1.49495,1.29236,2.09404,0.87758,0.55167,0.60186,0.52958,1.08913,0.82971,1.8239,0.00620038,0.00620038,0.00620038
21,14976.1,1.48531,1.2567,2.09465,0.84539,0.56469,0.59585,0.52392,1.07809,0.83519,1.81722,0.0060004,0.0060004,0.0060004
22,15701.2,1.46471,1.24562,2.07974,0.89447,0.55192,0.60138,0.533,1.0688,0.80372,1.8183,0.00580042,0.00580042,0.00580042
23,16431.8,1.44914,1.23261,2.07331,0.90131,0.56819,0.61622,0.54831,1.06448,0.79495,1.79871,0.00560044,0.00560044,0.00560044
24,17160.8,1.43183,1.21037,2.05952,0.91116,0.56521,0.6884,0.5654,1.03887,0.79689,1.79388,0.00540046,0.00540046,0.00540046
25,17888.3,1.43366,1.21239,2.06527,0.90005,0.58745,0.64894,0.56267,1.05112,0.77809,1.78611,0.00520048,0.00520048,0.00520048
26,18618.4,1.41996,1.1736,2.05371,0.91797,0.56798,0.69688,0.58126,1.03772,0.76448,1.77878,0.0050005,0.0050005,0.0050005
27,19357.7,1.41565,1.17198,2.04634,0.8883,0.57866,0.65552,0.56558,1.02971,0.76225,1.7748,0.00480052,0.00480052,0.00480052
28,20095.9,1.40868,1.14625,2.05146,0.88808,0.59814,0.70521,0.58933,1.02335,0.75657,1.79955,0.00460054,0.00460054,0.00460054
29,20822.2,1.3798,1.12099,2.0326,0.92287,0.58954,0.70647,0.58743,1.01198,0.73416,1.7723,0.00440056,0.00440056,0.00440056
30,21562.4,1.37676,1.11182,2.02949,0.89688,0.59398,0.67296,0.57475,1.01489,0.74606,1.77565,0.00420058,0.00420058,0.00420058
31,22289.7,1.36904,1.1135,2.01893,0.92074,0.59363,0.71488,0.60604,1.00142,0.73893,1.76632,0.0040006,0.0040006,0.0040006
32,23025.6,1.34935,1.08757,2.01716,0.92657,0.59502,0.71738,0.62093,1.00171,0.72792,1.76069,0.00380062,0.00380062,0.00380062
33,23749.4,1.33544,1.06244,2.00772,0.89669,0.61986,0.72015,0.62052,1.00254,0.72516,1.76787,0.00360064,0.00360064,0.00360064
34,24479.2,1.33086,1.06277,2.00903,0.92762,0.58874,0.71844,0.62552,1.00396,0.71847,1.77269,0.00340066,0.00340066,0.00340066
35,25213.3,1.33112,1.04124,2.00576,0.91256,0.61451,0.71541,0.62377,0.99655,0.71235,1.76371,0.00320068,0.00320068,0.00320068
36,25947.4,1.31694,1.02296,1.99648,0.91246,0.6104,0.72149,0.62377,0.98946,0.71083,1.75286,0.0030007,0.0030007,0.0030007
37,26687.2,1.30349,1.0074,1.98899,0.92039,0.5973,0.72326,0.62843,0.98233,0.70572,1.74404,0.00280072,0.00280072,0.00280072
38,27418,1.31063,1.00042,1.99144,0.92234,0.6044,0.7052,0.62183,0.97998,0.6994,1.75084,0.00260074,0.00260074,0.00260074
