epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,548.649,0.63099,0.89081,1.01784,0.87448,0.52924,0.72431,0.52948,0.54986,0.50613,0.8629,0.00333142,0.00333142,0.00333142
2,1152.23,0.64693,0.64548,1.01539,0.87023,0.49359,0.55537,0.47089,0.57058,0.53065,0.87634,0.00653279,0.00653279,0.00653279
3,1756.22,0.728,0.72621,1.06581,0.81478,0.50069,0.67812,0.463,0.68515,0.64775,0.96041,0.00960216,0.00960216,0.00960216
4,2363.7,0.77165,0.79796,1.09904,0.86874,0.49118,0.68388,0.45338,0.65951,0.6307,0.95441,0.009406,0.009406,0.009406
5,2953.52,0.74557,0.74484,1.08712,0.82602,0.49925,0.67905,0.46076,0.63172,0.57684,0.93436,0.009208,0.009208,0.009208
6,3542.05,0.70913,0.69153,1.06367,0.84144,0.54239,0.67573,0.52289,0.60809,0.54405,0.91179,0.00901,0.00901,0.00901
7,4132.67,0.69447,0.65607,1.05302,0.85303,0.54005,0.59942,0.50603,0.58992,0.50532,0.90305,0.008812,0.008812,0.008812
8,4748.7,0.67061,0.62671,1.04005,0.63386,0.71985,0.65576,0.50633,0.57894,0.4973,0.89889,0.008614,0.008614,0.008614
9,5347.65,0.65451,0.60164,1.03192,0.87215,0.68045,0.75663,0.55179,0.57209,0.49043,0.90587,0.008416,0.008416,0.008416
10,5907.31,0.64104,0.58173,1.02459,0.89153,0.69513,0.75423,0.57301,0.55014,0.45281,0.88826,0.008218,0.008218,0.008218
11,6477.21,0.63114,0.57122,1.01833,0.88486,0.57652,0.75358,0.54592,0.54708,0.46224,0.88475,0.00802,0.00802,0.00802
12,6982.93,0.62297,0.55424,1.01406,0.87399,0.55901,0.63312,0.54466,0.54142,0.43458,0.87919,0.007822,0.007822,0.007822
13,7520.41,0.61504,0.54338,1.00467,0.90836,0.5762,0.69609,0.5846,0.53162,0.42325,0.87324,0.007624,0.007624,0.007624
14,8079.63,0.60653,0.52665,1.00229,0.74708,0.58396,0.68738,0.58876,0.52141,0.42195,0.86377,0.007426,0.007426,0.007426
15,8653.18,0.59893,0.51519,0.99885,0.90188,0.59467,0.68212,0.58304,0.52343,0.40506,0.86505,0.007228,0.007228,0.007228
16,9234.06,0.59278,0.50852,0.99268,0.91393,0.6007,0.67449,0.57481,0.51926,0.40844,0.86929,0.00703,0.00703,0.00703
17,9794.81,0.58802,0.49895,0.98998,0.90939,0.59493,0.78954,0.61489,0.50536,0.40198,0.85778,0.006832,0.006832,0.006832
18,10266.7,0.58198,0.49368,0.98487,0.80953,0.63976,0.80204,0.6563,0.50482,0.3854,0.85325,0.006634,0.006634,0.006634
19,10729.3,0.57191,0.48007,0.98082,0.91597,0.60617,0.66833,0.57845,0.50559,0.38565,0.86099,0.006436,0.006436,0.006436
20,11199.3,0.56793,0.46746,0.98018,0.92241,0.61437,0.7982,0.68011,0.50344,0.37318,0.86146,0.006238,0.006238,0.006238
21,11672.6,0.56188,0.4616,0.97397,0.92487,0.6094,0.79946,0.65355,0.49721,0.37452,0.8523,0.00604,0.00604,0.00604
22,12149,0.5564,0.45679,0.97458,0.81062,0.77341,0.78888,0.63044,0.49975,0.37384,0.85482,0.005842,0.005842,0.005842
23,12614.7,0.55399,0.45262,0.96782,0.94623,0.61775,0.81276,0.66838,0.48977,0.36231,0.84231,0.005644,0.005644,0.005644
24,13069.2,0.55096,0.44542,0.96727,0.93241,0.71628,0.82762,0.65735,0.49533,0.37163,0.84336,0.005446,0.005446,0.005446
25,13531.2,0.54898,0.43878,0.96301,0.92339,0.75501,0.83678,0.64461,0.48987,0.34929,0.84096,0.005248,0.005248,0.005248
26,13994.1,0.5384,0.42473,0.96149,0.93414,0.75041,0.82359,0.67936,0.48637,0.35137,0.84874,0.00505,0.00505,0.00505
27,14466.8,0.53453,0.42394,0.95839,0.87768,0.77984,0.82991,0.6704,0.48923,0.35232,0.84564,0.004852,0.004852,0.004852
28,14940,0.52955,0.42023,0.95767,0.72933,0.80028,0.8301,0.66357,0.48526,0.35196,0.84999,0.004654,0.004654,0.004654
29,15417,0.5255,0.40855,0.95715,0.85267,0.79929,0.80765,0.63604,0.48086,0.33932,0.84234,0.004456,0.004456,0.004456
30,15910.4,0.52201,0.40724,0.95204,0.92074,0.76275,0.82776,0.67402,0.4809,0.33986,0.84022,0.004258,0.004258,0.004258
31,16407.6,0.51849,0.3991,0.95112,0.84334,0.81043,0.83164,0.69217,0.48183,0.34363,0.84395,0.00406,0.00406,0.00406
32,16903.7,0.51654,0.39475,0.94827,0.94118,0.7269,0.82281,0.67415,0.47534,0.34448,0.83689,0.003862,0.003862,0.003862
33,17382.6,0.51145,0.38721,0.94604,0.80039,0.79658,0.8145,0.69583,0.47067,0.33475,0.8343,0.003664,0.003664,0.003664
34,17856.9,0.50308,0.37688,0.9419,0.90863,0.77462,0.80113,0.67983,0.471,0.33423,0.83355,0.003466,0.003466,0.003466
35,18330.9,0.50263,0.38009,0.94366,0.93691,0.75187,0.80172,0.67993,0.47209,0.33299,0.83772,0.003268,0.003268,0.003268
36,18843,0.49674,0.37351,0.94068,0.92272,0.77417,0.81511,0.67748,0.47309,0.33161,0.83323,0.00307,0.00307,0.00307
